posteam,season,week,punt_net_yards,field_goal_make_pct,kick_return_avg,punt_return_avg
CLE,2022,3,38.399998,1.0,6.75,2.2
CLE,2022,4,45.666668,1.0,5.6666665,2.3333333
CLE,2022,5,59.5,0.0,9.142858,0.0
CLE,2022,6,42.583332,1.0,15.142858,1.75
CLE,2022,7,53.0,0.6666666666666666,4.5,4.6666665
CLE,2022,8,30.75,0.5,3.6666667,2.75
CLE,2022,10,41.0,1.0,11.875,3.470982
CLE,2022,11,42.333332,0.5,5.4444447,0.0
CLE,2022,12,46.5,0.5,16.75,8.333333
CLE,2022,13,39.54762,1.0,12.0,12.285714
CLE,2022,14,52.0,1.0,17.4,3.0
CLE,2022,15,51.666668,0.5,10.5,0.0
CLE,2022,16,40.1,1.0,31.666666,2.5
CLE,2022,17,41.75,1.0,7.6666665,5.0
CLE,2022,18,46.833332,0.7916666666666666,15.5,1.6666666
CLE,2023,1,45.785713,1.0,0.0,1.5
CLE,2023,2,47.6,0.6666666666666666,0.0,0.0
CLE,2023,3,44.7619,1.0,13.0,1.5714285
CLE,2023,4,43.19643,1.0,0.0,3.4285715
CLE,2023,6,47.166668,0.8,10.5,7.3333335
CLE,2023,7,50.0,1.0,6.571429,4.4
CLE,2023,8,41.333332,1.0,3.0,6.0
CLE,2023,9,52.46032,0.6666666666666666,0.0,6.111111
CLE,2023,10,44.5,1.0,5.5,0.0
CLE,2023,11,43.38889,1.0,0.0,4.111111
CLE,2023,12,58.533333,1.0,0.0,1.8
CLE,2023,13,41.2,1.0,0.0,6.0
CLE,2023,14,48.785713,1.0,7.25,2.7142856
CLE,2023,15,41.033333,1.0,3.75,2.3
CLE,2023,16,46.333332,0.9422222222222222,18.0,3.0
CLE,2023,17,51.666668,1.0,0.0,0.0
CLE,2023,18,46.857143,0.9422222222222222,3.1666667,1.0
CLE,2023,19,43.5,0.9422222222222222,0.0,0.5
CLE,2024,1,39.0,1.0,12.125,12.0
CLE,2024,2,35.266666,1.0,5.0,8.333333
CLE,2024,3,45.57143,0.0,0.0,5.428571
CLE,2024,4,55.7,1.0,18.4,7.5
CLE,2024,5,45.07143,1.0,21.857143,6.5
CLE,2024,6,47.083332,0.75,0.0,8.666667
CLE,2024,7,45.339287,0.0,7.75,5.375
CLE,2024,8,39.666668,1.0,11.8,9.0
CLE,2024,9,46.0,0.5,9.4,7.0
CLE,2024,11,45.6,0.0,6.1666665,0.0
CLE,2024,12,30.666666,1.0,14.4,0.0
CLE,2024,13,50.4,0.5,2.625,1.6
CLE,2024,14,37.86667,0.0,9.333333,7.3333335
CLE,2024,15,46.61111,0.65,29.25,1.5555556
CLE,2024,16,36.0,0.65,15.5,7.5
CLE,2024,17,48.714287,1.0,5.75,1.2857143
CLE,2024,18,43.2,1.0,21.0,0.0
CLE,2025,1,41.666668,0.5,26.25,6.8333335
CLE,2025,2,37.166668,1.0,13.428572,0.0
CLE,2025,3,45.5,1.0,18.333334,3.0
CLE,2025,4,44.857143,0.5,18.428572,0.0
CLE,2025,5,38.8,1.0,26.0,6.2
CLE,2025,6,45.0,1.0,24.333334,4.5
CLE,2025,7,41.25,1.0,18.5,1.75
CLE,2025,8,37.916668,0.0,21.833334,2.3333333
DAL,2022,1,49.8,1.0,12.833333,1.0
DAL,2022,2,36.600002,1.0,0.0,6.8
DAL,2022,3,35.166668,0.75,4.8,9.333333
DAL,2022,4,43.166668,1.0,0.0,-0.5
DAL,2022,5,45.6,1.0,0.0,2.4
DAL,2022,6,50.5,0.5,16.0,9.0
DAL,2022,7,26.599998,1.0,0.0,22.0
DAL,2022,8,67.25,0.875,4.2,3.75
DAL,2022,10,46.45,0.875,10.833333,2.75
DAL,2022,11,45.642857,1.0,0.0,4.857143
DAL,2022,12,51.0,0.0,0.0,0.0
DAL,2022,13,49.5,0.875,12.8,0.0
DAL,2022,14,50.083332,1.0,5.4,2.25
DAL,2022,15,40.916668,1.0,11.666667,5.3333335
DAL,2022,16,57.0,1.0,4.428571,4.335053
DAL,2022,17,34.533333,1.0,0.0,5.8
DAL,2022,18,45.942856,0.875,8.5,1.8571428
DAL,2022,19,45.85,0.875,17.5,1.4
DAL,2022,20,46.75,1.0,24.0,0.0
DAL,2023,1,43.0,1.0,0.0,5.6666665
DAL,2023,2,51.666668,1.0,0.0,0.0
DAL,2023,3,51.0,1.0,0.0,0.0
DAL,2023,4,53.4,1.0,0.0,2.6
DAL,2023,5,48.3,1.0,9.714286,2.5
DAL,2023,6,49.25,1.0,5.25,3.0
DAL,2023,8,46.5,1.0,16.0,0.0
DAL,2023,9,36.4,1.0,15.8,4.6
DAL,2023,10,45.214287,0.9607843137254901,2.75,1.2857143
DAL,2023,11,58.666668,1.0,0.0,0.0
DAL,2023,12,51.0,1.0,0.0,1.6666666
DAL,2023,14,48.0,1.0,7.5,0.0
DAL,2023,15,55.0,1.0,7.1666665,0.0
DAL,2023,16,58.333332,1.0,0.16666667,1.0
DAL,2023,17,45.25,1.0,0.0,0.0
