posteam,season,week,start_yardline_bucket,downs_prob,end_half_prob,fg_prob,punt_prob,td_prob,turnover_prob,total_drives
BAL,2025,1,opp_35,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,7
BAL,2025,2,opp_35,0.0,0.6,0.2,0.2,0.0,0.0,5
BAL,2025,2,own_10,0.0,0.0,0.0,1.0,0.0,0.0,3
BAL,2025,3,opp_35,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.0,0.0,7
BAL,2025,4,opp_35,0.375,0.125,0.125,0.125,0.0,0.25,8
BAL,2025,5,opp_35,0.0,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.0,0.2222222222222222,9
BAL,2025,6,opp_35,0.2,0.0,0.2,0.2,0.0,0.4,5
BAL,2025,8,opp_35,0.0,0.4,0.2,0.4,0.0,0.0,5
BUF,2022,1,own_10,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,3
BUF,2022,2,own_35,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,3
BUF,2022,2,own_20,0.0,1.0,0.0,0.0,0.0,0.0,3
BUF,2022,3,opp_35,0.25,0.5,0.0,0.25,0.0,0.0,4
BUF,2022,4,opp_35,0.0,0.0,0.2,0.4,0.0,0.4,5
BUF,2022,4,own_20,0.0,0.5,0.5,0.0,0.0,0.0,4
BUF,2022,5,own_35,0.0,0.8,0.0,0.2,0.0,0.0,5
BUF,2022,5,own_20,0.0,0.5,0.0,0.25,0.0,0.25,4
BUF,2022,6,opp_35,0.4,0.2,0.0,0.2,0.0,0.2,5
BUF,2022,6,own_20,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,3
