team,season,week,off_epa_per_play,def_epa_per_play,plays_offensive,plays_defensive,data_source
NE,2025,7,0.06762906163930893,0.002627407666295767,474,465,rolling
NE,2025,8,0.08158408105373383,-0.01421046070754528,555,532,rolling
NE,2025,9,0.06973383575677872,-0.04731149226427078,639,600,rolling
NE,2025,10,0.06973383575677872,-0.04731149226427078,639,600,rolling
NE,2025,11,0.06973383575677872,-0.04731149226427078,639,600,rolling
NE,2025,12,0.06973383575677872,-0.04731149226427078,639,600,rolling
NE,2025,13,0.06973383575677872,-0.04731149226427078,639,600,rolling
NE,2025,14,0.06973383575677872,-0.04731149226427078,639,600,rolling
NE,2025,15,0.06973383575677872,-0.04731149226427078,639,600,rolling
NE,2025,16,0.06973383575677872,-0.04731149226427078,639,600,rolling
NE,2025,17,0.06973383575677872,-0.04731149226427078,639,600,rolling
NE,2025,18,0.06973383575677872,-0.04731149226427078,639,600,rolling
NO,2022,1,0.0,0.0,0,0,no_data
NO,2022,2,0.04101329669356346,0.011905268765985966,77,98,rolling
NO,2022,3,-0.15103687345981598,-0.06704597175121307,161,184,rolling
NO,2022,4,-0.1636364907026291,-0.06654796004295349,249,260,rolling
NO,2022,5,-0.09532591700553894,-0.011822066269814968,327,352,rolling
NO,2022,6,-0.06434014439582825,-0.01622668094933033,426,428,rolling
NO,2022,7,-0.03418667986989021,0.01659608818590641,517,499,rolling
NO,2022,8,-0.025488529354333878,0.028430085629224777,609,584,rolling
NO,2022,9,-0.013989614322781563,-0.009124409407377243,683,656,rolling
NO,2022,10,-0.02666023001074791,0.005356147885322571,752,738,rolling
NO,2022,11,-0.038526393473148346,0.005043176002800465,813,836,rolling
NO,2022,12,-0.029132859781384468,0.001319604809395969,887,918,rolling
NO,2022,13,-0.04540044069290161,-0.002315609250217676,958,996,rolling
NO,2022,14,-0.044232409447431564,-0.00531980162486434,1033,1090,rolling
NO,2022,15,-0.044232409447431564,-0.00531980162486434,1033,1090,rolling
NO,2022,16,-0.04000343382358551,-0.004341532941907644,1101,1179,rolling
NO,2022,17,-0.04409629851579666,-0.016637330874800682,1167,1261,rolling
NO,2022,18,-0.045852214097976685,-0.030733902007341385,1252,1333,rolling
NO,2023,1,-0.05589094012975693,-0.03792324289679527,1325,1402,previous_season
NO,2023,2,-0.19055676460266113,-0.16220428049564362,83,81,rolling
NO,2023,3,-0.08441632986068726,-0.10843879729509354,176,157,rolling
NO,2023,4,-0.08655548095703125,-0.09737744182348251,255,250,rolling
