game_id,season,week,away,home,ol_pass_stress_away,ol_pass_stress_home,ol_chaos_index_away,ol_chaos_index_home,stress_diff,away_ol_continuity_full,home_ol_continuity_full,away_ol_continuity_count,home_ol_continuity_count,away_center_missing,home_center_missing,away_left_tackle_missing,home_left_tackle_missing,stress_z_score,spread_home_first,spread_home_last,total_first,total_last,spread_movement,total_movement,days_tracked,away_score,home_score,actual_margin,actual_total,spread_direction,predicted_direction,predicted_spread_close,bet,bet_side,clv,result
2024_05_BUF_HOU,2024,5,BUF,HOU,0.0,-5.551115123125783e-17,3,4,5.551115123125783e-17,0,0,3,1,0,0,0,0,1.332403186002306,-1.5,-1.0,48.0,47.0,0.5,-1.0,25,20.0,23.0,-3.0,43.0,1,0,-3.0,True,HOME,-0.5,WIN
2024_05_IND_JAX,2024,5,IND,JAX,-2.775557561562892e-17,0.0,5,0,-2.775557561562892e-17,0,1,1,5,0,0,0,0,-0.6475601116331906,-2.5,-2.5,47.5,46.0,0.0,-1.5,25,34.0,37.0,-3.0,71.0,0,0,-4.0,True,HOME,0.0,WIN
2024_05_MIA_NE,2024,5,MIA,NE,0.0,0.0,2,2,0.0,0,0,3,1,1,1,0,0,0.0124276542453082,4.5,-2.0,45.0,36.5,-6.5,-8.5,25,15.0,10.0,5.0,25.0,0,0,3.0,True,HOME,6.5,LOSS
2024_05_CLE_WAS,2024,5,CLE,WAS,0.0,-8.326672684688674e-17,2,0,8.326672684688674e-17,0,1,2,5,0,0,0,0,1.9923909518808047,3.0,-1.0,43.5,42.5,-4.0,-1.0,25,13.0,34.0,-21.0,47.0,0,0,1.5,True,HOME,4.0,WIN
2024_05_LV_DEN,2024,5,LV,DEN,0.0,-2.775557561562892e-17,0,3,2.775557561562892e-17,1,0,5,2,0,0,0,0,0.6724154201238071,-1.0,-1.0,41.0,39.5,0.0,-1.5,25,18.0,34.0,-16.0,52.0,0,0,-2.5,True,HOME,0.0,WIN
2024_05_ARI_SF,2024,5,ARI,SF,-1.3877787807814457e-17,-8.326672684688674e-17,1,0,6.938893903907227e-17,0,1,4,5,0,0,0,0,1.6623970689415553,-9.5,-7.0,47.0,47.5,2.5,0.5,25,24.0,23.0,1.0,47.0,1,1,-8.0,True,AWAY,2.5,WIN
2024_05_NYG_SEA,2024,5,NYG,SEA,-2.775557561562892e-17,-5.551115123125783e-17,0,3,2.775557561562892e-17,1,0,5,3,0,0,0,0,0.6724154201238071,-3.5,-6.0,43.0,42.0,-2.5,-1.0,25,29.0,20.0,9.0,49.0,0,0,-5.0,True,HOME,2.5,LOSS
2024_05_DAL_PIT,2024,5,DAL,PIT,-5.551115123125783e-17,0.0,2,1,-5.551115123125783e-17,0,0,3,4,0,0,0,0,-1.307547877511689,1.5,1.0,43.0,42.0,-0.5,-1.0,25,20.0,17.0,3.0,37.0,0,1,3.0,True,AWAY,-0.5,WIN
2024_05_NO_KC,2024,5,NO,KC,0.0,0.0,1,0,0.0,0,1,4,5,1,0,0,0,0.0124276542453082,-8.0,-5.5,44.5,43.0,2.5,-1.5,29,13.0,26.0,-13.0,39.0,1,1,-6.5,True,AWAY,2.5,LOSS
2024_06_SF_SEA,2024,6,SF,SEA,-1.3877787807814457e-17,-4.163336342344337e-17,3,0,2.775557561562892e-17,0,1,3,5,0,0,0,0,0.6724154201238071,5.0,3.0,46.5,47.0,-2.0,0.5,31,36.0,24.0,12.0,60.0,0,0,3.5,True,HOME,2.0,LOSS
