week,game,bet_type,bet_side,line,edge,stake,result,profit,actual_margin,actual_total,predicted_margin,predicted_total,confidence
6,DEN@NYJ,spread,away,7.227272727272728,4.462515157084128,65.0,WIN,59.085,-2,24,2.7647575701886007,45.49486878099624,0.65
6,DEN@NYJ,total,over,43.55,1.944868780996245,65.0,LOSS,-65.0,-2,24,2.7647575701886007,45.49486878099624,0.65
6,ARI@IND,spread,home,-7.136363636363637,6.594759903690256,65.0,WIN,59.085,4,58,-0.5416037326733809,52.84737365038736,0.65
6,ARI@IND,total,over,46.72727272727273,6.120100923114634,65.0,WIN,59.085,4,58,-0.5416037326733809,52.84737365038736,0.65
6,LAC@MIA,spread,away,4.090909090909091,1.6418944455760558,58.333333333333336,WIN,53.025000000000006,-2,56,2.449014645333035,49.00641568459698,0.5833333333333334
6,LAC@MIA,total,over,43.59090909090909,5.415506593687887,58.333333333333336,WIN,53.025000000000006,-2,56,2.449014645333035,49.00641568459698,0.5833333333333334
6,NE@NO,spread,away,3.4545454545454546,5.326975015092543,65.0,WIN,59.085,-6,44,-1.8724295605470886,47.13381593360781,0.65
6,CLE@PIT,spread,home,-5.636363636363637,6.083573245073732,65.0,WIN,59.085,14,32,0.44720960871009563,42.805443181603955,0.65
6,CLE@PIT,total,over,38.18181818181818,4.6236249997857755,65.0,LOSS,-65.0,14,32,0.44720960871009563,42.805443181603955,0.65
6,DAL@CAR,spread,away,3.0,4.871593214657015,65.0,LOSS,-65.0,3,57,-1.8715932146570147,53.356966709621446,0.65
6,DAL@CAR,total,over,49.5,3.856966709621446,65.0,WIN,59.085,3,57,-1.8715932146570147,53.356966709621446,0.65
6,SEA@JAX,spread,away,-0.3181818181818182,2.135516677980211,65.0,WIN,59.085,-8,32,-2.4536984961620294,50.05385668119213,0.65
6,SEA@JAX,total,over,47.40909090909091,2.6447657721012234,65.0,LOSS,-65.0,-8,32,-2.4536984961620294,50.05385668119213,0.65
6,CIN@GB,spread,home,-14.181818181818182,3.443720476476331,58.333333333333336,WIN,53.025000000000006,9,45,-10.73809770534185,50.823172374864,0.5833333333333334
6,CIN@GB,total,over,44.45454545454545,6.3686269203185475,58.333333333333336,WIN,53.025000000000006,9,45,-10.73809770534185,50.823172374864,0.5833333333333334
6,SF@TB,spread,home,-3.0,2.752043071081696,65.0,WIN,59.085,11,49,-0.2479569289183039,47.74983416563207,0.65
6,DET@KC,spread,home,-2.090909090909091,1.7087000857403025,61.66666666666667,WIN,56.05500000000001,13,47,-0.3822090051687883,59.54899067763394,0.6166666666666667
6,DET@KC,total,over,52.81818181818182,6.730808859452118,61.66666666666667,LOSS,-61.66666666666667,13,47,-0.3822090051687883,59.54899067763394,0.6166666666666667
6,BUF@ATL,spread,away,4.409090909090909,4.386425728094584,65.0,LOSS,-65.0,10,38,0.022665180996325418,51.14955095044578,0.65
7,PIT@CIN,total,over,44.86363636363637,6.943622711734669,58.333333333333336,WIN,53.025000000000006,2,64,4.641942028334407,51.807259075371036,0.5833333333333334
