week,away,home,spread,total,line_type,timestamp
3,MIN,PIT,-1.5,41.5,opening,2025-09-28T13:31:00Z
3,WAS,ATL,1.5,45.5,opening,2025-09-28T17:01:00Z
3,NO,BUF,-14.5,47.5,opening,2025-09-28T17:01:00Z
3,CAR,NE,-6.0,44.5,opening,2025-09-28T17:01:00Z
3,CLE,DET,-10.5,47.5,opening,2025-09-28T17:01:00Z
3,TEN,HOU,-6.5,41.5,opening,2025-09-28T17:01:00Z
3,LAC,NYG,5.5,45.5,opening,2025-09-28T17:01:00Z
3,PHI,TB,2.5,45.5,opening,2025-09-28T17:01:00Z
3,IND,LA,-5.5,47.5,opening,2025-09-28T20:06:00Z
3,JAX,SF,-4.5,46.5,opening,2025-09-28T20:06:00Z
3,BAL,KC,2.5,48.5,opening,2025-09-28T20:26:00Z
3,CHI,LV,-1.5,46.5,opening,2025-09-28T20:26:00Z
3,GB,DAL,4.5,48.5,opening,2025-09-29T00:21:00Z
3,NYJ,MIA,-2.5,44.5,opening,2025-09-29T23:16:00Z
3,CIN,DEN,-6.5,44.5,opening,2025-09-30T00:16:00Z
3,DET,BAL,-4.5,53.5,closing,2025-09-23T00:15:00Z
3,SEA,ARI,-1.5,43.5,closing,2025-09-26T00:16:00Z
3,MIN,PIT,2.5,41.5,closing,2025-09-28T13:31:00Z
3,WAS,ATL,3.0,45.5,closing,2025-09-28T17:01:00Z
3,NO,BUF,-15.5,48.5,closing,2025-09-28T17:01:00Z
3,CAR,NE,-5.5,44.5,closing,2025-09-28T17:01:00Z
3,CLE,DET,-8.5,45.5,closing,2025-09-28T17:01:00Z
3,TEN,HOU,-7.0,39.5,closing,2025-09-28T17:01:00Z
3,LAC,NYG,6.0,44.5,closing,2025-09-28T17:01:00Z
3,PHI,TB,3.0,44.5,closing,2025-09-28T17:01:00Z
3,IND,LA,-3.5,48.5,closing,2025-09-28T20:06:00Z
3,JAX,SF,-3.5,46.5,closing,2025-09-28T20:06:00Z
3,BAL,KC,2.5,48.5,closing,2025-09-28T20:26:00Z
3,CHI,LV,1.5,47.5,closing,2025-09-28T20:26:00Z
3,GB,DAL,6.5,47.5,closing,2025-09-29T00:21:00Z
3,NYJ,MIA,-2.5,45.5,closing,2025-09-29T22:16:00Z
3,CIN,DEN,-7.5,44.5,closing,2025-09-29T23:16:00Z
4,SEA,ARI,1.5,43.5,opening,2025-09-26T00:16:00Z
4,MIN,PIT,2.5,40.5,opening,2025-09-28T13:31:00Z
4,CLE,DET,-10.0,44.5,opening,2025-09-28T17:00:00Z
